test_patient,model,accuracy,sensitivity,specificity,auc,mcc,f1,tp,tn,fp,fn,threshold,n_test,n_pos_test,n_neg_test,fit_time_sec,fold_total_sec
chb01,rf_perseg,0.9128364389233955,0.8869565217391304,0.9141304347826087,0.9575023629489602,0.5175920182679518,0.49215922798552475,204,4205,395,26,0.2,4830,230,4600,7.252894639968872,320.69429659843445
chb02,rf_perseg,0.929665071770335,0.9333333333333333,0.9295,0.9888694444444446,0.5651093461718463,0.5333333333333333,84,1859,141,6,0.2,2090,90,2000,6.222099304199219,205.1853747367859
chb03,rf_perseg,0.9850340136054422,0.8047619047619048,0.9940476190476191,0.9913996598639455,0.829519043330596,0.8366336633663366,169,4175,25,41,0.25,4410,210,4200,5.989037275314331,198.7663722038269
chb04,rf_perseg,0.9560439560439561,0.6666666666666666,0.9705128205128205,0.9317179487179487,0.57213430445802,0.5909090909090909,130,3785,115,65,0.2,4095,195,3900,6.205518960952759,197.2036063671112
chb05,rf_perseg,0.5717604114816658,0.9790940766550522,0.5513937282229965,0.9534044968374024,0.22625338037450865,0.17881005408845052,281,3165,2575,6,0.2,6027,287,5740,5.765465259552002,203.26915764808655
chb06,rf_perseg,0.42044911610129,0.9139784946236559,0.3975,0.6133844086021506,0.13198722906712912,0.12292118582791034,85,795,1205,8,0.25,2093,93,2000,6.125036001205444,190.61501502990723
chb07,rf_perseg,0.9438266324493869,0.9341317365269461,0.944311377245509,0.9902488436301051,0.6305872733445117,0.6129666011787819,156,3154,186,11,0.2,3507,167,3340,5.99835467338562,194.4121036529541
chb08,rf_perseg,0.864994391760987,0.7858672376873662,0.8689507494646681,0.9210158467414679,0.37825717418922755,0.3566569484936832,367,8116,1224,100,0.2,9807,467,9340,5.572420597076416,215.95758152008057
chb09,rf_perseg,0.33793103448275863,1.0,0.30482758620689654,0.9727122473246136,0.14301571155957718,0.12575888985255854,145,884,2016,0,0.25,3045,145,2900,6.013002157211304,192.89829564094543
chb10,rf_perseg,0.6518743667679838,0.9787234042553191,0.635531914893617,0.9590900860117701,0.267740821233313,0.21120293847566574,230,2987,1713,5,0.2,4935,235,4700,5.954959869384766,201.75315070152283
chb11,rf_perseg,0.939042939042939,0.8353808353808354,0.9442260442260443,0.9496471454702413,0.5719261139470642,0.5661948376353039,340,7686,454,67,0.2,8547,407,8140,5.632956504821777,214.770090341568
chb12,rf_perseg,0.9216417910447762,0.15671641791044777,0.9598880597014925,0.7174815347237692,0.11895176258944537,0.16,84,10290,430,452,0.25,11256,536,10720,8.153127670288086,330.30636048316956
chb13,rf_perseg,0.6908115358819584,0.22535211267605634,0.7140845070422536,0.5194142407260464,-0.028631122513207062,0.06490872210953347,64,4056,1624,220,0.2,5964,284,5680,5.897010803222656,210.23289561271667
chb14,rf_perseg,0.8179218303145853,0.11224489795918367,0.8525,0.6141249999999999,-0.02107755813349458,0.054455445544554455,11,1705,295,87,0.2,2098,98,2000,5.879545450210571,192.53837990760803
chb15,rf_perseg,0.9517770034843206,0.0,0.9993658536585366,0.7262928256989887,-0.005496880348559677,0.0,0,20487,13,1025,0.25,21525,1025,20500,4.835297584533691,259.7889721393585
chb16,rf_perseg,0.9041362530413626,0.34545454545454546,0.9195,0.8393227272727273,0.15126234485058393,0.16170212765957448,19,1839,161,36,0.25,2055,55,2000,6.172416925430298,193.66168022155762
chb17,rf_perseg,0.8980952380952381,0.3,0.928,0.8659888888888889,0.17613557410760466,0.21897810218978103,45,2784,216,105,0.2,3150,150,3000,6.12291693687439,244.81057953834534
chb18,rf_perseg,0.964778810932657,0.5325443786982249,0.9863905325443787,0.9466221420818598,0.5756745005861545,0.5901639344262295,90,3334,46,79,0.2,3549,169,3380,6.026660919189453,198.18631625175476
chb19,rf_perseg,0.9721254355400697,0.7886178861788617,0.9813008130081301,0.9834506576773084,0.716971751529386,0.7293233082706767,97,2414,46,26,0.2,2583,123,2460,6.252012252807617,196.8453221321106
chb20,rf_perseg,0.9266247379454927,0.5031446540880503,0.9477987421383648,0.7522418021439026,0.3676009625892315,0.3950617283950617,80,3014,166,79,0.25,3339,159,3180,9.01948356628418,305.2067756652832
chb22,rf_perseg,0.9757495590828924,0.8981481481481481,0.9796296296296296,0.9921189128943758,0.7741587626287156,0.7791164658634538,97,2116,44,11,0.2,2268,108,2160,6.1394431591033936,220.8054645061493
